2025-05-21T11:48:22.303173+00:00 lia-server mariadbd[15721]: 2025-05-21 11:48:22 125 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:48:32.441303+00:00 lia-server mariadbd[15721]: 2025-05-21 11:48:32 126 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:48:43.826788+00:00 lia-server mariadbd[15721]: 2025-05-21 11:48:43 127 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:48:53.829515+00:00 lia-server mariadbd[15721]: 2025-05-21 11:48:53 128 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:49:03.848447+00:00 lia-server mariadbd[15721]: 2025-05-21 11:49:03 129 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:49:13.811528+00:00 lia-server mariadbd[15721]: 2025-05-21 11:49:13 130 [Warning] Access denied for user 'Admin'@'localhost' (using password: YES)
2025-05-21T11:49:13.850446+00:00 lia-server mariadbd[15721]: 2025-05-21 11:49:13 131 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:49:23.992383+00:00 lia-server mariadbd[15721]: 2025-05-21 11:49:23 132 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:49:34.609217+00:00 lia-server mariadbd[15721]: 2025-05-21 11:49:34 133 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:49:44.658384+00:00 lia-server mariadbd[15721]: 2025-05-21 11:49:44 134 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:49:54.669560+00:00 lia-server mariadbd[15721]: 2025-05-21 11:49:54 135 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:50:04.681408+00:00 lia-server mariadbd[15721]: 2025-05-21 11:50:04 136 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:50:14.712182+00:00 lia-server mariadbd[15721]: 2025-05-21 11:50:14 137 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:50:24.753349+00:00 lia-server mariadbd[15721]: 2025-05-21 11:50:24 138 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:50:34.756370+00:00 lia-server mariadbd[15721]: 2025-05-21 11:50:34 139 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:50:44.760528+00:00 lia-server mariadbd[15721]: 2025-05-21 11:50:44 140 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:50:54.761583+00:00 lia-server mariadbd[15721]: 2025-05-21 11:50:54 141 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:51:04.765011+00:00 lia-server mariadbd[15721]: 2025-05-21 11:51:04 142 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:51:14.775637+00:00 lia-server mariadbd[15721]: 2025-05-21 11:51:14 143 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:51:24.785159+00:00 lia-server mariadbd[15721]: 2025-05-21 11:51:24 144 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:51:34.789388+00:00 lia-server mariadbd[15721]: 2025-05-21 11:51:34 145 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:51:40.324740+00:00 lia-server mariadbd[15721]: 2025-05-21 11:51:40 146 [Warning] Access denied for user 'Admin'@'localhost' (using password: YES)
2025-05-21T11:51:44.798925+00:00 lia-server mariadbd[15721]: 2025-05-21 11:51:44 147 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:51:55.452197+00:00 lia-server mariadbd[15721]: 2025-05-21 11:51:55 148 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:52:05.454555+00:00 lia-server mariadbd[15721]: 2025-05-21 11:52:05 149 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:52:15.501510+00:00 lia-server mariadbd[15721]: 2025-05-21 11:52:15 150 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:52:19.340383+00:00 lia-server mariadbd[15721]: 2025-05-21 11:52:19 151 [Warning] Access denied for user 'Admin'@'localhost' (using password: YES)
2025-05-21T11:52:25.509141+00:00 lia-server mariadbd[15721]: 2025-05-21 11:52:25 152 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:52:31.111710+00:00 lia-server mariadbd[15721]: 2025-05-21 11:52:31 153 [Warning] Access denied for user 'Admin'@'localhost' (using password: YES)
2025-05-21T11:52:35.554245+00:00 lia-server mariadbd[15721]: 2025-05-21 11:52:35 154 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:52:45.581864+00:00 lia-server mariadbd[15721]: 2025-05-21 11:52:45 155 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:52:55.603553+00:00 lia-server mariadbd[15721]: 2025-05-21 11:52:55 156 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:53:08.128917+00:00 lia-server mariadbd[15721]: 2025-05-21 11:53:08 157 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:53:18.212223+00:00 lia-server mariadbd[15721]: 2025-05-21 11:53:18 158 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:53:28.238908+00:00 lia-server mariadbd[15721]: 2025-05-21 11:53:28 159 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:53:38.350396+00:00 lia-server mariadbd[15721]: 2025-05-21 11:53:38 160 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:53:48.388277+00:00 lia-server mariadbd[15721]: 2025-05-21 11:53:48 161 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:53:58.404184+00:00 lia-server mariadbd[15721]: 2025-05-21 11:53:58 162 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:54:10.137822+00:00 lia-server mariadbd[15721]: 2025-05-21 11:54:10 163 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:54:20.138567+00:00 lia-server mariadbd[15721]: 2025-05-21 11:54:20 164 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:54:30.151791+00:00 lia-server mariadbd[15721]: 2025-05-21 11:54:30 165 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:54:40.157036+00:00 lia-server mariadbd[15721]: 2025-05-21 11:54:40 166 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:54:50.183421+00:00 lia-server mariadbd[15721]: 2025-05-21 11:54:50 167 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:55:00.188406+00:00 lia-server mariadbd[15721]: 2025-05-21 11:55:00 168 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:55:10.205767+00:00 lia-server mariadbd[15721]: 2025-05-21 11:55:10 169 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:55:15.890187+00:00 lia-server mariadbd[15721]: 2025-05-21 11:55:15 170 [Warning] Access denied for user 'Admin'@'localhost' (using password: YES)
2025-05-21T11:55:20.385192+00:00 lia-server mariadbd[15721]: 2025-05-21 11:55:20 171 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:55:30.398200+00:00 lia-server mariadbd[15721]: 2025-05-21 11:55:30 172 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:55:40.450438+00:00 lia-server mariadbd[15721]: 2025-05-21 11:55:40 173 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:55:50.638413+00:00 lia-server mariadbd[15721]: 2025-05-21 11:55:50 174 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:56:00.643061+00:00 lia-server mariadbd[15721]: 2025-05-21 11:56:00 175 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:56:07.053705+00:00 lia-server mariadbd[15721]: 2025-05-21 11:56:07 176 [Warning] Access denied for user 'Admin'@'localhost' (using password: YES)
2025-05-21T11:56:10.649742+00:00 lia-server mariadbd[15721]: 2025-05-21 11:56:10 177 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
2025-05-21T11:56:11.407487+00:00 lia-server mariadbd[15721]: 2025-05-21 11:56:11 178 [Warning] Access denied for user 'Admin'@'localhost' (using password: YES)
2025-05-21T11:56:20.670056+00:00 lia-server mariadbd[15721]: 2025-05-21 11:56:20 179 [Warning] Access denied for user 'zabbix'@'localhost' (using password: NO)
